Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees,Year
Lowe-Lawson,Tech,India,Series A,3172004.0,2019-12-21,326,2019
Hogan-Martin,Health,France,Series C,171156441.0,2019-08-18,105,2019
Porter Inc,E-commerce,Germany,Seed,434321.0,2016-01-28,314,2016
Salinas-Wilson,SaaS,India,Series B,20213168.0,2016-12-23,261,2016
Gates-Hall,Education,USA,Series B,49164978.0,2022-09-15,192,2022
"Franco, Jenkins and Davis",Health,UK,IPO,954481067.0,2016-03-02,219,2016
Kelly-Perez,Tech,Australia,Series B,38022554.0,2022-06-09,215,2022
Ochoa Group,SaaS,Canada,IPO,875505221.0,2024-04-09,70,2024
Greer-Evans,E-commerce,Germany,Series B,31185367.0,2024-11-26,243,2024
Mccarthy-Scott,Gaming,India,IPO,492204156.0,2023-01-07,381,2023
Campbell PLC,Tech,UK,Series C,98229893.0,2023-08-21,8,2023
Torres-Rivera,E-commerce,Australia,Series A,5487164.0,2023-11-21,254,2023
Williams-Palmer,Education,France,Series C,92642917.0,2021-03-17,252,2021
"Williamson, Marshall and Miller",Education,Germany,Series B,28296395.0,2024-12-23,124,2024
Miller-Hunter,AI,France,Series C,195103070.0,2017-11-04,245,2017
Vasquez Ltd,Education,Netherlands,IPO,772675997.0,2016-08-17,347,2016
"Chase, Garcia and Collins",SaaS,USA,Seed,356895.0,2016-11-15,100,2016
Kelly-Mata,Tech,Netherlands,Series C,165091418.0,2017-12-26,55,2017
"Clark, Wallace and Lewis",Education,UK,Series B,33194821.0,2016-03-06,317,2016
Cox-Ryan,Gaming,Germany,Series A,7873154.0,2021-12-08,395,2021
Freeman Inc,Education,USA,Seed,309408.0,2024-08-30,253,2024
Wright-Turner,Gaming,UK,Series C,71152189.0,2022-05-15,336,2022
"Palmer, Branch and Ward",E-commerce,Canada,Series B,10273549.0,2023-07-25,369,2023
Castaneda PLC,E-commerce,India,Series C,76353123.0,2019-02-27,274,2019
Higgins-Smith,E-commerce,Netherlands,Series A,3587231.0,2019-01-13,476,2019
Johnson-Farrell,SaaS,France,Series C,179672205.0,2017-06-10,401,2017
"Gonzales, Walton and Webb",Finance,Germany,Series A,1023276.0,2021-07-23,349,2021
"Green, Macdonald and Green",E-commerce,Australia,Series C,140708501.0,2021-02-05,438,2021
Snyder and Sons,Finance,Canada,Series A,8186900.0,2017-12-03,395,2017
Wood and Sons,Gaming,UK,Seed,460470.0,2021-03-16,184,2021
Taylor-Fernandez,Gaming,Netherlands,IPO,517461857.0,2017-07-12,438,2017
Richardson Group,Tech,France,IPO,518072574.0,2022-03-03,42,2022
"Jackson, Brown and Francis",Tech,Canada,Series C,110010644.0,2017-04-22,390,2017
"Chapman, Gilbert and Fitzgerald",Health,Canada,Seed,80717.0,2020-10-24,257,2020
Smith-Arnold,Finance,India,IPO,611926058.0,2019-07-30,249,2019
Peterson LLC,E-commerce,Canada,IPO,845755100.0,2016-11-16,241,2016
"Larson, Norris and Moore",AI,USA,Seed,129632.0,2019-11-09,345,2019
Bradford-Russell,SaaS,Canada,Seed,160404.0,2016-06-15,160,2016
Snyder Ltd,Tech,UK,Series A,9605245.0,2021-03-12,312,2021
"Flores, Ritter and Walker",Tech,France,Seed,420976.0,2024-02-04,65,2024
Duncan Ltd,AI,France,Series B,32753106.0,2019-02-15,96,2019
Smith LLC,Education,UK,Series B,17314923.0,2016-01-06,199,2016
"Sandoval, Campbell and Green",Tech,USA,Series B,39116617.0,2021-06-16,5,2021
"Munoz, Avery and Jacobson",SaaS,Netherlands,IPO,213927473.0,2023-03-07,372,2023
Matthews-Willis,Finance,Netherlands,Series A,7874060.0,2020-09-18,52,2020
"Davis, Farmer and Curtis",Health,UK,Series A,2611381.0,2019-01-30,360,2019
Stark and Sons,Gaming,Netherlands,IPO,872233528.0,2016-07-02,319,2016
Johnson and Sons,E-commerce,France,Series A,5856960.0,2024-03-20,320,2024
Smith-Wu,Health,USA,Series B,32373997.0,2019-03-10,322,2019
"Tate, Mclean and Simpson",AI,UK,Seed,334120.0,2022-04-09,188,2022
Stafford and Sons,E-commerce,UK,Series C,148414162.0,2021-01-22,455,2021
Nichols Ltd,Gaming,USA,Series C,128184206.0,2021-06-01,349,2021
Moreno Group,Finance,France,Series B,16083786.0,2025-08-26,357,2025
"Douglas, Delgado and Miller",E-commerce,Canada,Series C,58539317.0,2025-04-20,498,2025
Ibarra-Meyer,Tech,UK,Series C,138166484.0,2018-09-17,306,2018
Robinson Group,AI,Netherlands,Series C,109072157.0,2025-03-23,265,2025
"Young, Braun and Mcdowell",Finance,Australia,Series B,49531232.0,2025-07-21,438,2025
Chavez Ltd,Health,India,Series C,140656086.0,2025-01-13,379,2025
Greene-Young,AI,Germany,IPO,520823899.0,2022-06-04,197,2022
"Valentine, Guzman and Jones",SaaS,Germany,Series C,124299329.0,2025-04-14,277,2025
Farley-Richardson,Finance,Netherlands,Series B,22297876.0,2020-04-14,171,2020
"Ray, Evans and Williams",Education,Australia,IPO,941305234.0,2016-08-05,49,2016
Boone-Rodriguez,Health,Australia,Series A,5217077.0,2016-09-30,204,2016
Brock and Sons,Health,India,IPO,231564796.0,2019-03-22,136,2019
"Curtis, Burns and Cochran",AI,USA,IPO,284177133.0,2021-12-28,449,2021
"Daugherty, Santana and Bradley",E-commerce,USA,Series B,34154324.0,2023-11-10,66,2023
Harris-Price,AI,UK,Series A,7410532.0,2018-03-03,255,2018
Henry-Peck,Education,Australia,Series C,180698577.0,2019-11-24,462,2019
Banks LLC,Gaming,Netherlands,IPO,916547613.0,2016-01-09,45,2016
"Cruz, Ward and Munoz",SaaS,Canada,Seed,494110.0,2018-01-06,181,2018
Sparks-Burton,Finance,Canada,Series C,148876033.0,2020-05-07,409,2020
Wise-Stuart,Tech,France,Seed,157372.0,2021-01-25,493,2021
Kelly-Dawson,SaaS,Canada,Series B,13866350.0,2025-01-31,341,2025
Lang-Davis,Education,India,Series A,3162430.0,2024-03-13,317,2024
"Obrien, Meyer and Whitehead",Gaming,India,Series B,17617184.0,2021-06-15,455,2021
"Jordan, Bean and Burns",Tech,USA,Series A,9121035.0,2017-08-15,108,2017
Gray-Martin,Finance,France,Series C,73194843.0,2018-05-10,209,2018
Shelton Inc,Finance,India,Series C,166182317.0,2018-03-08,31,2018
"Deleon, Mathis and Robinson",SaaS,India,Series B,37872070.0,2025-01-04,33,2025
"Jones, Carter and Foster",AI,India,Seed,178567.0,2025-08-22,241,2025
Byrd-Schwartz,E-commerce,USA,Seed,388086.0,2021-06-11,258,2021
Kennedy Group,Health,Canada,Seed,274166.0,2021-09-05,146,2021
"Estrada, Kelley and Carrillo",Finance,UK,Seed,318871.0,2022-12-02,381,2022
Bailey-Jones,Tech,Germany,IPO,986622061.0,2020-07-14,289,2020
Parker Inc,Finance,Germany,Seed,50678.0,2016-03-27,146,2016
Stone and Sons,E-commerce,Australia,Series C,53869275.0,2020-06-03,230,2020
"Stephens, Best and Thompson",SaaS,Canada,Series B,28294651.0,2018-01-13,310,2018
"Bishop, Wilson and Gonzalez",Finance,Netherlands,Series B,39024908.0,2023-02-24,201,2023
Brown and Sons,Tech,India,Series C,148231469.0,2017-04-16,252,2017
Nelson-Parker,Tech,Canada,Series B,45461696.0,2021-01-09,133,2021
Ellis-Cochran,Education,Germany,Series B,28443367.0,2020-02-05,101,2020
"Rogers, Henderson and Ramirez",SaaS,France,Series A,3062633.0,2021-03-16,45,2021
Moore-Baker,Health,Germany,IPO,916247470.0,2016-07-01,260,2016
Acosta-Brown,Education,Canada,Series A,3506879.0,2016-02-09,132,2016
Gonzalez-Raymond,SaaS,France,Series C,69976415.0,2023-01-27,172,2023
Singh and Sons,Education,Netherlands,Series B,22540239.0,2023-01-15,23,2023
Hayes Group,Health,France,Seed,223956.0,2020-06-18,10,2020
Ramirez PLC,Health,Netherlands,Series A,5296779.0,2021-01-31,102,2021
Price Group,E-commerce,UK,Seed,191996.0,2023-02-16,191,2023
Garza-Griffin,Education,UK,Series B,20047622.0,2018-03-19,275,2018
Reeves-Rivas,Tech,France,IPO,841483222.0,2017-06-30,130,2017
"Parker, Miles and Huff",Health,India,Series B,47655960.0,2023-03-01,404,2023
Smith and Sons,Education,Netherlands,IPO,377257561.0,2018-02-17,250,2018
Snyder-Webb,SaaS,India,Series A,7487648.0,2021-08-15,218,2021
Everett and Sons,Health,Australia,Series C,124525719.0,2016-01-29,191,2016
"Edwards, Burton and Carson",SaaS,Australia,IPO,283239139.0,2025-03-03,38,2025
"Crawford, Johnston and Everett",Finance,USA,IPO,869557948.0,2022-10-12,124,2022
"Rocha, Torres and Moore",Education,Canada,Series B,36331325.0,2017-01-28,457,2017
Johnson-Berry,Finance,India,Seed,153693.0,2021-10-06,445,2021
Cooper LLC,Education,France,Series B,14317058.0,2025-04-08,56,2025
Thompson PLC,SaaS,USA,Seed,412006.0,2025-08-23,277,2025
"Salas, Miller and Ruiz",Tech,India,Series B,22301846.0,2020-01-17,40,2020
Greer-Taylor,Finance,Netherlands,Seed,350434.0,2021-12-29,91,2021
Wolf-Anderson,SaaS,Canada,Series B,29369320.0,2022-02-18,350,2022
Fleming LLC,Gaming,India,Series C,63316823.0,2018-11-09,66,2018
Miller-Watson,Education,Canada,Series B,45702831.0,2017-08-02,422,2017
"Woods, Gomez and Graham",SaaS,Canada,IPO,247075552.0,2018-06-15,349,2018
"Cook, Perkins and Berger",Education,France,Series B,27183917.0,2025-11-03,452,2025
Sanders and Sons,Finance,UK,IPO,570368877.0,2024-08-22,263,2024
Shaw-Wolf,Education,Germany,Series B,18584071.0,2016-11-04,37,2016
Oneal Group,E-commerce,UK,Seed,146761.0,2024-08-12,10,2024
"Schmidt, Mathews and Boone",Finance,Netherlands,Series B,34101204.0,2025-10-06,236,2025
Beck-Ball,Education,Netherlands,Series A,8602589.0,2017-05-18,434,2017
"Morris, May and Henderson",Tech,Australia,Series C,72497446.0,2022-04-20,7,2022
Lee Group,AI,Canada,Series A,2146154.0,2016-06-22,425,2016
"King, Larson and Jones",AI,UK,IPO,412280666.0,2017-12-05,99,2017
Murphy-Holt,Health,France,Series A,7920973.0,2024-03-27,453,2024
"Marsh, Gibbs and Carpenter",Health,Canada,Series B,14508889.0,2025-04-29,65,2025
Williams-Reid,AI,India,Series A,4105436.0,2017-09-01,213,2017
Baker Ltd,Education,Australia,IPO,548514222.0,2023-04-13,189,2023
Jones Group,Education,France,Seed,77820.0,2024-10-07,343,2024
Munoz-Esparza,AI,Canada,IPO,542188990.0,2021-09-15,352,2021
Thomas-Valencia,E-commerce,Australia,Series B,48351554.0,2019-12-01,411,2019
Young-Cantrell,Gaming,Canada,Series B,43081334.0,2020-04-20,478,2020
Abbott Inc,Tech,India,IPO,752071506.0,2024-05-24,170,2024
Phelps LLC,Education,Netherlands,Series B,21166524.0,2019-08-05,396,2019
Glass Ltd,Education,India,Seed,225144.0,2022-10-08,412,2022
Kerr-Tran,Education,Germany,IPO,729605641.0,2023-04-20,359,2023
Brown-Miranda,Education,UK,Series B,34592957.0,2018-09-21,28,2018
Allen and Sons,Finance,India,Series B,10045027.0,2016-08-06,394,2016
Juarez-Woods,AI,Australia,Series A,3066783.0,2016-04-24,40,2016
"Lamb, Gibbs and Turner",AI,Australia,Series A,6935410.0,2021-02-16,37,2021
"Thomas, Gonzalez and Morris",Health,Germany,IPO,831048678.0,2016-05-17,488,2016
Matthews-Rios,Tech,Netherlands,Seed,372378.0,2025-05-11,76,2025
Torres-Williams,Health,India,IPO,821069773.0,2018-09-20,41,2018
Chavez-Stewart,Education,Australia,Series B,32784848.0,2019-08-18,153,2019
Parks Ltd,Education,Canada,Series B,25596692.0,2025-06-11,34,2025
"Yates, Simmons and Baker",Education,France,Series B,12667611.0,2019-01-12,468,2019
Huerta and Sons,Health,Australia,Seed,424919.0,2024-12-15,475,2024
Brooks-Wong,SaaS,Australia,Series C,99132917.0,2025-12-03,451,2025
Terry-Powell,Education,Germany,Series B,49229577.0,2025-09-06,282,2025
Conner-Kramer,Education,Netherlands,Series C,142338789.0,2024-08-01,261,2024
Baker-Stanley,Finance,Australia,Series C,97282704.0,2019-10-04,234,2019
"Turner, Huff and Poole",E-commerce,USA,Seed,164407.0,2022-10-05,392,2022
Walker Ltd,Tech,Canada,Series A,6032335.0,2023-08-17,286,2023
Williams Ltd,E-commerce,Canada,Seed,489847.0,2017-05-08,321,2017
Elliott and Sons,Gaming,UK,Series A,1690432.0,2019-03-04,331,2019
Ramirez Inc,Tech,India,Seed,421730.0,2019-08-06,7,2019
"Rivas, Chan and Brown",Gaming,USA,IPO,337012326.0,2020-06-15,487,2020
Sanders-Burke,E-commerce,Germany,Series C,60774066.0,2019-01-05,464,2019
Turner LLC,Gaming,Canada,Seed,125641.0,2023-05-09,115,2023
"Good, Yoder and Jackson",E-commerce,Netherlands,Series B,38075399.0,2021-05-01,139,2021
"Curry, Bates and Anderson",AI,Canada,Series B,39625570.0,2021-07-22,467,2021
"Meyer, Munoz and Carr",SaaS,France,Series C,50460885.0,2025-06-26,289,2025
Anderson Group,Health,UK,IPO,301602752.0,2016-07-07,114,2016
Hamilton-Walls,SaaS,France,Series B,12802656.0,2023-04-20,433,2023
Warren Inc,Finance,Australia,Seed,186575.0,2017-11-27,193,2017
"Moore, Brady and Moore",Gaming,Netherlands,Series A,1142173.0,2019-12-31,389,2019
Parker-Morse,Finance,USA,IPO,471355889.0,2022-04-23,249,2022
Vasquez-Walters,Health,Canada,Series A,3250347.0,2017-01-19,158,2017
Johnson-Barnett,E-commerce,UK,Series B,11478876.0,2023-11-06,285,2023
"Ramirez, Adkins and Peterson",Finance,Australia,IPO,632745442.0,2018-08-10,424,2018
"Ward, Watts and Rubio",SaaS,France,IPO,389253282.0,2021-08-12,470,2021
Powell-Calhoun,Gaming,Netherlands,Series C,170187501.0,2019-02-24,331,2019
Harris-Thomas,AI,USA,Seed,244055.0,2022-08-15,141,2022
"Munoz, Taylor and Mason",E-commerce,Netherlands,Seed,441415.0,2025-01-19,299,2025
"Rogers, Sandoval and Bullock",Tech,Australia,Series A,9255795.0,2023-10-05,230,2023
Gray-Mora,Health,USA,Series B,34980399.0,2019-01-06,39,2019
"Nelson, Wright and Mckenzie",AI,France,Series C,154780161.0,2022-06-07,243,2022
"King, Garcia and Curry",SaaS,USA,IPO,322397916.0,2022-07-31,394,2022
Griffith-Collins,AI,France,Series A,3386561.0,2017-09-08,442,2017
"Stevenson, Sweeney and Bishop",Education,India,IPO,815671936.0,2023-12-07,100,2023
"Davenport, Butler and Singleton",AI,Germany,IPO,228716371.0,2025-11-25,84,2025
Reyes LLC,SaaS,USA,Series B,34067110.0,2018-12-03,56,2018
Austin LLC,SaaS,UK,Seed,64833.0,2018-12-03,149,2018
Martin-Rasmussen,AI,Germany,Seed,493049.0,2022-07-18,449,2022
White Inc,Finance,Netherlands,Series C,51297917.0,2020-02-11,104,2020
"Cunningham, Smith and Hoffman",Finance,Netherlands,Seed,175327.0,2019-10-17,331,2019
Baldwin Inc,Education,USA,IPO,702209625.0,2023-02-04,114,2023
Carroll-Gallagher,Finance,Netherlands,Series B,42929886.0,2016-04-24,48,2016
White LLC,Health,Germany,IPO,328713369.0,2024-04-11,9,2024
"Reynolds, Gay and Chambers",Health,Canada,Seed,444237.0,2019-10-21,323,2019
Pearson-Hernandez,Health,UK,IPO,613964813.0,2018-11-09,450,2018
Grimes and Sons,Education,USA,Seed,180450.0,2024-05-21,119,2024
"Lane, Jordan and Carter",Health,Canada,Series B,37632662.0,2018-07-14,114,2018
Boone Inc,Gaming,Canada,Series A,7302274.0,2024-11-21,356,2024
Garcia-Hall,E-commerce,UK,Seed,405166.0,2024-01-12,23,2024
Carr-Woods,SaaS,Netherlands,Series B,36108741.0,2022-12-20,333,2022
Jackson LLC,Finance,Canada,Series A,9168744.0,2023-08-05,233,2023
"Miller, Rodriguez and Silva",Health,Netherlands,Seed,89202.0,2024-02-29,233,2024
"Ward, Martinez and Abbott",Gaming,Australia,Series A,1162729.0,2018-03-03,488,2018
Martin PLC,Education,France,IPO,201471652.0,2022-04-28,37,2022
Torres Group,Health,Australia,Seed,410375.0,2019-12-09,227,2019
Wallace Inc,E-commerce,USA,Series C,104011964.0,2022-10-24,420,2022
Mcknight LLC,SaaS,Netherlands,IPO,233461115.0,2018-06-04,431,2018
Davis-Davis,SaaS,Canada,Series B,14466756.0,2019-06-28,230,2019
"Thompson, Sanchez and Raymond",Tech,UK,Series C,53295138.0,2017-12-17,438,2017
"Simmons, Byrd and Rivera",Tech,UK,Series B,16694613.0,2019-12-24,300,2019
Smith Inc,Education,UK,Seed,267061.0,2025-12-03,138,2025
"Mack, Walters and Taylor",Health,India,Series A,2022827.0,2016-05-16,203,2016
Obrien Ltd,Tech,Canada,Series C,99148884.0,2025-03-07,315,2025
"Manning, Cross and Rojas",Tech,France,IPO,253675260.0,2025-03-08,367,2025
"Vaughn, Foley and Buchanan",AI,France,Series C,77733276.0,2019-01-20,198,2019
Conner Ltd,E-commerce,Netherlands,Series B,21423314.0,2018-09-17,168,2018
Wong Inc,AI,Netherlands,IPO,520732786.0,2016-09-30,237,2016
Andrews Group,Education,Germany,Series A,1178111.0,2020-06-05,86,2020
"Hernandez, Cruz and Johnson",E-commerce,UK,IPO,287400159.0,2018-06-29,25,2018
Johnson Group,AI,UK,Series A,4817417.0,2019-08-09,84,2019
Jordan LLC,AI,Canada,Series A,2006706.0,2016-05-10,419,2016
Moore and Sons,Tech,Australia,Series B,16484644.0,2025-12-27,71,2025
Miller Inc,Education,India,Seed,478715.0,2023-04-24,487,2023
Vargas Group,Tech,UK,Series A,9413542.0,2016-10-04,166,2016
"Lee, Wolfe and Anderson",Health,Germany,Seed,389146.0,2019-01-28,253,2019
Peterson and Sons,AI,Netherlands,Series A,9343742.0,2020-01-04,35,2020
Adams-Williams,Health,USA,Series A,2007980.0,2022-03-17,402,2022
Estrada-Gamble,AI,Australia,Series B,17774850.0,2023-04-13,388,2023
Hill-Cruz,AI,USA,Series B,40502023.0,2025-07-07,30,2025
Rodriguez-Byrd,Education,Netherlands,Series B,15916609.0,2018-11-20,133,2018
"Howard, Harris and Brown",Tech,India,Seed,73482.0,2019-03-27,374,2019
Larson-Wilson,Health,Canada,Series A,1869271.0,2018-11-09,432,2018
James-Collins,Health,Canada,Series A,5509879.0,2020-02-24,438,2020
"Farrell, Patrick and Brandt",Tech,UK,IPO,995878549.0,2016-08-12,192,2016
Contreras Group,Health,Australia,Series C,62249166.0,2017-03-07,383,2017
Rodriguez Group,E-commerce,USA,Series B,46269142.0,2025-11-17,493,2025
Garcia and Sons,Tech,Canada,Series A,1530226.0,2025-11-07,273,2025
Perkins PLC,Tech,India,Series B,17693909.0,2024-06-03,303,2024
Taylor PLC,Finance,USA,Series C,85503986.0,2024-04-18,412,2024
Salinas and Sons,AI,UK,Seed,223193.0,2019-12-28,384,2019
Hamilton LLC,Education,USA,Series C,182935848.0,2017-01-01,239,2017
"Johnson, Gates and Tapia",Gaming,Netherlands,Series C,108515632.0,2025-07-10,192,2025
"Vasquez, Brown and Perry",Finance,India,Series B,27915714.0,2025-10-18,111,2025
"Bishop, Boone and Harmon",Tech,Germany,Series C,74093592.0,2022-12-01,486,2022
Bautista Ltd,AI,Australia,Series A,2836624.0,2022-11-26,128,2022
Rodriguez and Sons,Gaming,Netherlands,Series B,12031956.0,2017-05-15,273,2017
Morris-Hawkins,AI,Canada,Series B,14660466.0,2018-03-26,401,2018
Chan Ltd,Health,UK,Series C,185281738.0,2018-10-06,60,2018
Stanley Inc,SaaS,Canada,IPO,836932957.0,2025-03-20,187,2025
Jenkins-Atkinson,SaaS,USA,Seed,307116.0,2017-04-06,121,2017
"Miller, Simmons and Peters",AI,USA,IPO,457321922.0,2021-10-20,400,2021
Scott PLC,Gaming,Australia,Series B,28648755.0,2021-07-07,5,2021
Simmons-Kim,Tech,Germany,Series A,1052792.0,2022-03-09,127,2022
"Brennan, Young and Stevenson",AI,Canada,Series C,112374707.0,2025-10-24,499,2025
"Davis, Anderson and Giles",E-commerce,Canada,Series A,7335471.0,2020-08-26,222,2020
Woods PLC,Health,Netherlands,Series C,93509691.0,2016-08-26,141,2016
Long LLC,Health,Australia,Seed,96461.0,2023-11-13,247,2023
Brewer LLC,Gaming,Germany,IPO,537573458.0,2018-02-05,89,2018
"Davis, Odom and Miller",SaaS,India,Seed,379349.0,2017-06-01,496,2017
"Evans, Mata and Lester",E-commerce,UK,Series B,32774289.0,2018-01-11,196,2018
Hanson Inc,Tech,Netherlands,Series C,150362437.0,2022-08-29,21,2022
"Thomas, Berry and Carlson",Health,India,IPO,506284197.0,2022-11-01,36,2022
Mendoza-Mason,SaaS,Canada,IPO,291000172.0,2021-10-31,19,2021
Martin-Farrell,AI,Canada,IPO,685393082.0,2025-09-19,474,2025
"Howe, Doyle and Roberts",Education,USA,Seed,387139.0,2018-09-30,99,2018
"Torres, Zhang and Carlson",Education,India,Series B,15847640.0,2019-12-13,365,2019
Kelly PLC,E-commerce,UK,Series C,158625019.0,2016-05-21,417,2016
Ramsey-Thomas,E-commerce,Netherlands,Series B,32573750.0,2025-12-03,108,2025
Spence and Sons,E-commerce,France,Series B,22834637.0,2024-07-06,322,2024
Hill PLC,Education,USA,Series B,43258256.0,2018-08-21,415,2018
Lopez and Sons,SaaS,USA,Series B,21702798.0,2025-08-30,163,2025
"Day, Cuevas and Cameron",Finance,Australia,IPO,808840839.0,2024-09-30,282,2024
Galvan Inc,SaaS,India,Series C,90977490.0,2023-07-30,36,2023
Rodriguez-Smith,Tech,India,IPO,912737835.0,2022-08-12,400,2022
Thompson-Madden,Gaming,Canada,Seed,114827.0,2025-03-05,362,2025
Smith PLC,Finance,Australia,Series A,9140393.0,2020-11-17,280,2020
Thomas Inc,E-commerce,USA,IPO,495641256.0,2017-02-06,371,2017
"Davis, Stokes and Hamilton",Tech,India,IPO,587103817.0,2018-10-11,480,2018
Williams PLC,Gaming,Canada,IPO,224995137.0,2025-07-22,352,2025
Cole-Robles,SaaS,Australia,IPO,422687815.0,2023-10-25,303,2023
Phillips PLC,Health,Netherlands,Series C,85177336.0,2018-03-07,69,2018
Williams-Sullivan,Education,Australia,Series A,9022504.0,2023-03-05,18,2023
"Carson, Rodriguez and Buck",Gaming,Netherlands,Seed,150351.0,2023-06-13,497,2023
Williams and Sons,SaaS,USA,IPO,393413993.0,2020-05-30,188,2020
Taylor Ltd,Finance,UK,Series A,4082159.0,2024-12-08,180,2024
"Romero, Davis and Torres",Gaming,Australia,Series C,74968515.0,2019-11-08,241,2019
Hamilton-Miller,Health,India,Series C,57892648.0,2025-03-28,356,2025
Campbell-Contreras,SaaS,France,IPO,752868352.0,2017-06-03,281,2017
"Gomez, Valentine and Castillo",Tech,India,Series A,4486508.0,2021-08-09,68,2021
Mcmahon LLC,E-commerce,Australia,IPO,939739297.0,2025-06-25,486,2025
Lewis PLC,Gaming,France,Series A,6738964.0,2023-04-04,363,2023
"Flores, Bailey and Carpenter",Health,Canada,Series B,16121029.0,2019-05-11,152,2019
Aguirre LLC,Tech,Australia,Series B,13416126.0,2022-04-03,432,2022
"Rosario, Beltran and Dillon",Education,Netherlands,Seed,207191.0,2017-05-12,306,2017
Warner Ltd,Gaming,USA,Series A,4084024.0,2023-05-10,14,2023
Cox-Pollard,E-commerce,Germany,Series B,33731998.0,2023-04-17,289,2023
Kim-Nolan,E-commerce,Netherlands,Series A,2954881.0,2023-12-14,258,2023
Douglas PLC,SaaS,Germany,Seed,154865.0,2017-12-21,461,2017
Valentine-White,Health,Netherlands,IPO,219234518.0,2016-04-19,303,2016
Fuller-Powell,AI,Netherlands,Seed,117929.0,2022-03-10,472,2022
Griffith-Meadows,Gaming,Netherlands,Series B,40879456.0,2017-12-23,463,2017
Irwin-Jones,Tech,Canada,Seed,447331.0,2018-03-18,35,2018
Curtis Ltd,AI,Netherlands,Series B,21115885.0,2020-07-23,389,2020
"Smith, Anderson and Valentine",Finance,France,Series B,39885582.0,2025-01-27,148,2025
"Bell, Rodriguez and Montgomery",E-commerce,Canada,Series C,102060933.0,2023-01-16,222,2023
Cherry-Lawrence,SaaS,Germany,Seed,162878.0,2024-02-07,77,2024
English Group,Tech,Australia,Seed,134832.0,2019-04-08,127,2019
Fuller-Nelson,Tech,UK,Seed,207701.0,2022-11-03,288,2022
"Levine, Jensen and Johnson",Health,Germany,Series B,12096341.0,2017-12-31,252,2017
Wiley-Velez,Education,India,Seed,283454.0,2019-10-11,227,2019
"Moore, Pearson and Sullivan",Education,France,Series C,156565319.0,2024-08-13,369,2024
Garcia-Ford,SaaS,Canada,Series B,18792964.0,2022-09-04,28,2022
"Salazar, Hickman and Jones",E-commerce,Australia,Series A,6776070.0,2020-06-10,321,2020
Jackson-Parks,Gaming,France,Seed,443574.0,2025-03-02,62,2025
"Chang, Hampton and Bishop",Health,UK,IPO,556240974.0,2024-03-01,296,2024
Turner Inc,Finance,Germany,Series C,116229244.0,2020-03-18,136,2020
Cole-Greer,AI,Netherlands,Seed,58159.0,2025-12-07,406,2025
Brown PLC,AI,Australia,Seed,416638.0,2017-12-03,158,2017
Burns Inc,Education,Germany,Series A,1642310.0,2017-04-29,246,2017
Larson-Barnett,SaaS,Canada,Series C,86197033.0,2019-02-13,448,2019
Palmer-Wilson,Finance,Netherlands,Series C,154450061.0,2022-11-08,225,2022
